,pl_name,hostname,pl_rade,st_mass,sy_pnum
627,HD 136352 b,HD 136352,1.664,0.87,3
628,HD 136352 c,HD 136352,2.916,0.87,3
629,HD 136352 d,HD 136352,2.562,0.87,3
716,HD 158259 b,HD 158259,1.282,1.08,5
717,HD 158259 c,HD 158259,2.23,1.08,5
718,HD 158259 d,HD 158259,2.18,1.08,5
719,HD 158259 e,HD 158259,2.34,1.08,5
720,HD 158259 f,HD 158259,2.35,1.08,5
745,HD 164922 c,HD 164922,3.66,0.93,3
746,HD 164922 d,HD 164922,1.83,0.93,3
747,HD 164922 e,HD 164922,3.23,0.92,3
823,HD 191939 b,HD 191939,3.41,0.81,4
824,HD 191939 c,HD 191939,3.195,0.81,4
825,HD 191939 d,HD 191939,2.995,0.81,4
828,HD 191939 g,HD 191939,3.74,0.81,4
866,HD 20781 b,HD 20781,1.21,0.7,4
867,HD 20781 c,HD 20781,2.17,0.7,4
868,HD 20781 d,HD 20781,3.25,0.7,4
869,HD 20781 e,HD 20781,3.83,0.7,4
874,HD 20794 b,HD 20794,1.45,0.7,4
875,HD 20794 c,HD 20794,1.35,0.7,4
876,HD 20794 d,HD 20794,2.04,0.7,4
877,HD 20794 e,HD 20794,2.03,0.81,4
898,HD 215152 b,HD 215152,1.19,0.77,4
899,HD 215152 c,HD 215152,1.17,0.77,4
900,HD 215152 d,HD 215152,1.48,0.77,4
901,HD 215152 e,HD 215152,1.51,0.77,4
920,HD 219134 b,HD 219134,1.602,0.81,5
921,HD 219134 c,HD 219134,1.511,0.81,5
922,HD 219134 d,HD 219134,1.61,0.81,5
923,HD 219134 f,HD 219134,1.31,0.81,5
924,HD 219134 g,HD 219134,3.28,0.79,5
948,HD 22946 d,HD 22946,2.607,1.1,3
954,HD 23472 b,HD 23472,2.0,0.67,5
955,HD 23472 c,HD 23472,1.87,0.67,5
956,HD 23472 d,HD 23472,0.75,0.67,5
957,HD 23472 e,HD 23472,0.818,0.67,5
958,HD 23472 f,HD 23472,1.137,0.67,5
1007,HD 31527 b,HD 31527,3.22,0.96,3
1008,HD 31527 c,HD 31527,3.85,0.96,3
1009,HD 31527 d,HD 31527,3.46,0.96,3
1010,HD 3167 b,HD 3167,1.67,0.84,4
1011,HD 3167 c,HD 3167,3.0,0.84,4
1012,HD 3167 d,HD 3167,1.92,0.84,4
1013,HD 3167 e,HD 3167,2.83,0.84,4
1047,HD 39194 b,HD 39194,1.83,0.67,3
1048,HD 39194 c,HD 39194,2.39,0.67,3
1049,HD 39194 d,HD 39194,1.83,0.67,3
1051,HD 40307 b,HD 40307,1.83,0.77,5
1052,HD 40307 c,HD 40307,2.46,0.77,5
1053,HD 40307 d,HD 40307,3.04,0.77,5
1054,HD 40307 f,HD 40307,2.13,0.77,5
1055,HD 40307 g,HD 40307,2.56,0.77,5
1066,HD 42813 b,HD 42813,3.426,0.95,3
1090,HD 48948 b,HD 48948,2.06,0.69,3
1091,HD 48948 c,HD 48948,2.6,0.69,3
1092,HD 48948 d,HD 48948,3.24,0.69,3
1120,HD 63433 b,HD 63433,2.164,0.99,3
1121,HD 63433 c,HD 63433,2.582,0.99,3
1122,HD 63433 d,HD 63433,1.073,0.99,3
1176,HD 7924 b,HD 7924,2.4,0.65,3
1177,HD 7924 c,HD 7924,2.72,0.83,3
1178,HD 7924 d,HD 7924,2.42,0.83,3
1222,HD 93385 b,HD 93385,1.88,1.04,3
1223,HD 93385 c,HD 93385,2.56,1.04,3
1224,HD 93385 d,HD 93385,2.89,1.04,3
1242,HD 96700 b,HD 96700,2.93,0.89,3
1243,HD 96700 c,HD 96700,1.69,0.89,3
1244,HD 96700 d,HD 96700,3.61,0.89,3
1273,HIP 29442 c,HD 42813,1.58,0.89,3
1274,HIP 29442 d,HD 42813,1.37,0.89,3
1281,HIP 41378 b,HIP 41378,2.443,1.17,3
1282,HIP 41378 c,HIP 41378,2.56,1.17,3
1283,HIP 41378 d,HIP 41378,3.96,1.17,3
1336,HR 858 b,HR 858,2.085,1.15,3
1337,HR 858 c,HR 858,1.939,1.15,3
1338,HR 858 d,HR 858,2.164,1.15,3
1383,K2-133 b,K2-133,1.34,0.46,4
1384,K2-133 c,K2-133,1.603,0.46,4
1385,K2-133 d,K2-133,2.003,0.46,4
1386,K2-133 e,K2-133,1.73,0.46,4
1387,K2-136 b,K2-136,1.014,0.74,3
1388,K2-136 c,K2-136,3.0,0.74,3
1389,K2-136 d,K2-136,1.565,0.74,3
1391,K2-138 b,K2-138,1.51,0.94,6
1392,K2-138 c,K2-138,2.299,0.94,6
1393,K2-138 d,K2-138,2.39,0.94,6
1394,K2-138 e,K2-138,3.39,0.94,6
1395,K2-138 f,K2-138,2.904,0.94,6
1396,K2-138 g,K2-138,3.013,0.94,6
1405,K2-148 b,K2-148,1.33,0.65,3
1406,K2-148 c,K2-148,1.73,0.65,3
1407,K2-148 d,K2-148,1.64,0.65,3
1416,K2-155 b,K2-155,1.8,0.65,3
1417,K2-155 c,K2-155,2.6,0.65,3
1418,K2-155 d,K2-155,1.9,0.65,3
1424,K2-16 b,K2-16,2.02,0.68,3
1425,K2-16 c,K2-16,2.54,0.68,3
1431,K2-165 b,K2-165,1.274,0.83,3
1432,K2-165 c,K2-165,1.554,0.83,3
1433,K2-165 d,K2-165,2.648,0.83,3
1456,K2-183 b,K2-183,1.1,0.94,3
1457,K2-183 c,K2-183,2.3,0.94,3
1458,K2-183 d,K2-183,2.3,0.94,3
1463,K2-187 b,K2-187,1.2,0.97,4
1464,K2-187 c,K2-187,1.4,0.97,4
1465,K2-187 d,K2-187,2.4,0.97,4
1466,K2-187 e,K2-187,1.9,0.97,4
1512,K2-219 b,K2-219,1.348,1.02,3
1513,K2-219 c,K2-219,1.438,1.02,3
1514,K2-219 d,K2-219,2.576,1.02,3
1532,K2-233 b,K2-233,1.343,0.79,3
1533,K2-233 c,K2-233,1.281,0.79,3
1534,K2-233 d,K2-233,2.358,0.79,3
1537,K2-239 b,K2-239,1.1,0.4,3
1538,K2-239 c,K2-239,1.0,0.4,3
1539,K2-239 d,K2-239,1.1,0.4,3
1573,K2-266 b,K2-266,3.3,0.69,4
1574,K2-266 c,K2-266,0.705,0.69,4
1575,K2-266 d,K2-266,2.93,0.69,4
1576,K2-266 e,K2-266,2.73,0.69,4
1577,K2-268 b,K2-268,1.5,0.84,5
1578,K2-268 c,K2-268,2.69,0.84,5
1579,K2-268 d,K2-268,1.49,0.84,5
1580,K2-268 e,K2-268,1.33,0.84,5
1581,K2-268 f,K2-268,2.23,0.84,5
1602,K2-285 b,K2-285,2.59,0.83,4
1603,K2-285 c,K2-285,3.53,0.83,4
1604,K2-285 d,K2-285,2.48,0.83,4
1605,K2-285 e,K2-285,1.95,0.83,4
1618,K2-3 b,K2-3,2.078,0.55,3
1619,K2-3 c,K2-3,1.582,0.55,3
1620,K2-3 d,K2-3,1.458,0.55,3
1632,K2-32 c,K2-32,3.134,0.83,3
1633,K2-32 d,K2-32,3.484,0.83,3
1634,K2-32 e,K2-32,1.212,0.83,3
1673,K2-352 b,K2-352,1.37,0.98,3
1674,K2-352 c,K2-352,1.92,0.98,3
1675,K2-352 d,K2-352,2.23,0.98,3
1687,K2-368 b,K2-368,1.332,0.75,3
1688,K2-368 c,K2-368,1.361,0.75,3
1689,K2-368 d,K2-368,1.948,0.75,3
1691,K2-37 b,K2-37,1.61,0.9,3
1692,K2-37 c,K2-37,2.75,0.9,3
1693,K2-37 d,K2-37,2.73,0.9,3
1708,K2-381 b,K2-381,1.075,0.75,3
1709,K2-381 c,K2-381,2.0,0.75,3
1710,K2-381 d,K2-381,1.689,0.75,3
1713,K2-384 b,K2-384,1.076,0.33,5
1714,K2-384 c,K2-384,1.191,0.33,5
1715,K2-384 d,K2-384,1.392,0.33,5
1716,K2-384 e,K2-384,1.345,0.33,5
1717,K2-384 f,K2-384,2.222,0.33,5
1776,K2-58 b,K2-58,2.68,0.89,3
1777,K2-58 c,K2-58,1.62,0.89,3
1778,K2-58 d,K2-58,1.71,0.89,3
1796,K2-72 b,K2-72,1.08,0.27,4
1797,K2-72 c,K2-72,1.16,0.27,4
1798,K2-72 d,K2-72,1.01,0.27,4
1799,K2-72 e,K2-72,1.29,0.27,4
1808,K2-80 b,K2-80,2.01,0.9,3
1809,K2-80 c,K2-80,1.47,0.9,3
1810,K2-80 d,K2-80,2.552,0.91,3
1961,KOI-1831 d,Kepler-324,1.13,0.9,4
1962,KOI-1833 d,Kepler-968,2.58,0.68,3
1967,KOI-351 b,KOI-351,1.31,1.2,6
1968,KOI-351 c,KOI-351,1.19,1.2,6
1969,KOI-351 d,KOI-351,2.87,1.2,6
1970,KOI-351 e,KOI-351,2.66,1.2,6
1971,KOI-351 f,KOI-351,2.88,1.2,6
1988,Kepler-10 b,Kepler-10,1.47,0.91,3
1989,Kepler-10 c,Kepler-10,2.355,0.91,3
1990,Kepler-10 d,Kepler-10,3.61,0.91,3
1991,Kepler-100 b,Kepler-100,1.32,1.08,3
1992,Kepler-100 c,Kepler-100,2.2,1.08,3
1993,Kepler-100 d,Kepler-100,1.61,1.08,3
2020,Kepler-102 c,Kepler-102,0.567,0.8,4
2021,Kepler-102 d,Kepler-102,1.154,0.8,4
2022,Kepler-102 e,Kepler-102,2.17,0.8,4
2023,Kepler-102 f,Kepler-102,0.861,0.8,4
2047,Kepler-104 b,Kepler-104,3.1,0.82,3
2048,Kepler-104 c,Kepler-104,3.13,0.82,3
2049,Kepler-104 d,Kepler-104,3.58,0.82,3
2075,Kepler-106 b,Kepler-106,0.82,1.0,4
2076,Kepler-106 c,Kepler-106,2.5,1.0,4
2077,Kepler-106 d,Kepler-106,0.95,1.0,4
2078,Kepler-106 e,Kepler-106,2.56,1.0,4
2091,Kepler-107 b,Kepler-107,1.536,1.24,4
2092,Kepler-107 c,Kepler-107,1.597,1.24,4
2093,Kepler-107 d,Kepler-107,0.86,1.24,4
2094,Kepler-107 e,Kepler-107,2.903,1.24,4
2098,Kepler-1073 b,Kepler-1073,2.3,1.0,3
2099,Kepler-1073 c,Kepler-1073,1.64,1.0,3
2100,Kepler-1073 d,Kepler-1073,1.488,0.92,3
2135,Kepler-11 b,Kepler-11,1.8,0.96,5
2136,Kepler-11 c,Kepler-11,2.87,0.96,5
2137,Kepler-11 d,Kepler-11,3.12,0.96,5
2139,Kepler-11 f,Kepler-11,2.49,0.96,5
2140,Kepler-11 g,Kepler-11,3.33,0.96,5
2181,Kepler-1130 b,Kepler-1130,0.8,0.9,3
2182,Kepler-1130 c,Kepler-1130,0.792,0.94,3
2183,Kepler-1130 d,Kepler-1130,0.645,0.94,3
2193,Kepler-114 b,Kepler-114,1.26,0.77,3
2194,Kepler-114 c,Kepler-114,1.6,0.56,3
2195,Kepler-114 d,Kepler-114,2.53,0.56,3
2296,Kepler-122 b,Kepler-122,2.34,1.08,4
2298,Kepler-122 d,Kepler-122,2.2,1.08,4
2299,Kepler-122 e,Kepler-122,2.6,1.08,4
2300,Kepler-122 f,Kepler-122,1.75,1.03,4
2323,Kepler-124 b,Kepler-124,0.73,0.84,3
2324,Kepler-124 c,Kepler-124,1.75,0.84,3
2325,Kepler-124 d,Kepler-124,1.11,0.84,3
2343,Kepler-1254 b,Kepler-1254,1.55,0.78,3
2344,Kepler-1254 c,Kepler-1254,1.3,0.78,3
2345,Kepler-1254 d,Kepler-1254,1.31,0.78,3
2351,Kepler-126 b,Kepler-126,1.52,1.11,3
2352,Kepler-126 c,Kepler-126,1.58,1.11,3
2353,Kepler-126 d,Kepler-126,2.5,1.11,3
2365,Kepler-127 b,Kepler-127,1.4,1.27,3
2366,Kepler-127 c,Kepler-127,2.66,1.27,3
2367,Kepler-127 d,Kepler-127,2.64,1.27,3
2403,Kepler-130 b,Kepler-130,1.02,0.93,3
2404,Kepler-130 c,Kepler-130,2.9,1.0,3
2405,Kepler-130 d,Kepler-130,1.64,0.93,3
2432,Kepler-132 b,Kepler-132,1.21,0.98,4
2433,Kepler-132 c,Kepler-132,1.28,0.98,4
2434,Kepler-132 d,Kepler-132,1.55,0.98,4
2435,Kepler-132 e,Kepler-132,1.18,1.03,4
2514,Kepler-138 b,Kepler-138,0.64,0.54,4
2515,Kepler-138 c,Kepler-138,1.51,0.54,4
2516,Kepler-138 d,Kepler-138,1.51,0.54,4
2517,Kepler-138 e,Kepler-138,0.797,0.54,4
2526,Kepler-1388 b,Kepler-1388,2.59,0.63,4
2527,Kepler-1388 c,Kepler-1388,2.26,0.63,4
2528,Kepler-1388 d,Kepler-1388,2.86,0.63,4
2529,Kepler-1388 e,Kepler-1388,2.46,0.63,4
2531,Kepler-139 b,Kepler-139,2.94,1.08,3
2532,Kepler-139 c,Kepler-139,3.38,1.08,3
2533,Kepler-139 d,Kepler-139,1.695,1.08,3
2571,Kepler-142 b,Kepler-142,1.99,0.99,3
2572,Kepler-142 c,Kepler-142,2.86,0.99,3
2573,Kepler-142 d,Kepler-142,2.16,0.99,3
2631,Kepler-1468 b,Kepler-1468,1.73,1.04,3
2632,Kepler-1468 c,Kepler-1468,1.15,1.04,3
2633,Kepler-1468 d,Kepler-1468,3.332,1.07,3
2678,Kepler-150 b,Kepler-150,1.25,0.94,5
2679,Kepler-150 c,Kepler-150,3.69,0.94,5
2680,Kepler-150 d,Kepler-150,2.79,0.94,5
2681,Kepler-150 e,Kepler-150,3.12,0.94,5
2682,Kepler-150 f,Kepler-150,3.64,0.97,5
2722,Kepler-1530 b,Kepler-1530,1.64,0.92,3
2723,Kepler-1530 c,Kepler-1530,1.65,0.92,3
2724,Kepler-1530 d,Kepler-1530,3.279,1.02,3
2734,Kepler-154 b,Kepler-154,2.26,0.98,5
2735,Kepler-154 c,Kepler-154,2.95,0.98,5
2736,Kepler-154 d,Kepler-154,3.84,0.98,5
2737,Kepler-154 e,Kepler-154,1.5,0.98,5
2738,Kepler-154 f,Kepler-154,1.5,0.98,5
2741,Kepler-1542 b,Kepler-1542,0.76,0.94,4
2742,Kepler-1542 c,Kepler-1542,0.65,0.94,4
2743,Kepler-1542 d,Kepler-1542,0.87,0.94,4
2744,Kepler-1542 e,Kepler-1542,0.76,0.94,4
2776,Kepler-157 b,Kepler-157,1.32,1.02,3
2777,Kepler-157 c,Kepler-157,2.24,1.02,3
2778,Kepler-157 d,Kepler-157,1.46,1.02,3
2865,Kepler-164 b,Kepler-164,1.41,1.09,3
2866,Kepler-164 c,Kepler-164,2.73,1.09,3
2867,Kepler-164 d,Kepler-164,2.45,1.09,3
2892,Kepler-166 b,Kepler-166,2.27,0.88,3
2893,Kepler-166 c,Kepler-166,2.38,0.88,3
2894,Kepler-166 d,Kepler-166,1.73,0.88,3
2904,Kepler-1669 b,Kepler-1669,2.78,0.67,3
2905,Kepler-1669 c,Kepler-1669,1.901,0.61,3
2906,Kepler-1669 d,Kepler-1669,1.22,0.61,3
2907,Kepler-167 b,Kepler-167,1.718,0.78,3
2908,Kepler-167 c,Kepler-167,1.674,0.78,3
2909,Kepler-167 d,Kepler-167,1.238,0.78,3
2933,Kepler-169 b,Kepler-169,1.13,0.84,5
2934,Kepler-169 c,Kepler-169,1.21,0.84,5
2935,Kepler-169 d,Kepler-169,1.25,0.84,5
2936,Kepler-169 e,Kepler-169,2.2,0.84,5
2937,Kepler-169 f,Kepler-169,2.58,0.84,5
2960,Kepler-171 b,Kepler-171,2.34,0.91,3
2961,Kepler-171 c,Kepler-171,2.56,0.91,3
2962,Kepler-171 d,Kepler-171,1.89,0.91,3
2973,Kepler-172 b,Kepler-172,2.35,1.0,4
2974,Kepler-172 c,Kepler-172,2.86,1.0,4
2975,Kepler-172 d,Kepler-172,2.25,1.0,4
2976,Kepler-172 e,Kepler-172,2.76,1.0,4
2999,Kepler-174 b,Kepler-174,1.96,0.6,3
3000,Kepler-174 c,Kepler-174,1.49,0.6,3
3001,Kepler-174 d,Kepler-174,2.19,0.6,3
3024,Kepler-176 b,Kepler-176,1.43,0.79,4
3025,Kepler-176 c,Kepler-176,2.6,0.79,4
3026,Kepler-176 d,Kepler-176,2.51,0.79,4
3027,Kepler-176 e,Kepler-176,1.45,0.87,4
3050,Kepler-178 b,Kepler-178,2.9,0.94,3
3051,Kepler-178 c,Kepler-178,2.88,0.94,3
3052,Kepler-178 d,Kepler-178,3.95,0.94,3
3129,Kepler-184 b,Kepler-184,2.36,0.97,3
3130,Kepler-184 c,Kepler-184,1.97,0.97,3
3131,Kepler-184 d,Kepler-184,2.49,0.97,3
3155,Kepler-186 b,Kepler-186,1.07,0.48,5
3156,Kepler-186 c,Kepler-186,1.25,0.48,5
3157,Kepler-186 d,Kepler-186,1.4,0.48,5
3158,Kepler-186 e,Kepler-186,1.27,0.48,5
3159,Kepler-186 f,Kepler-186,1.17,0.54,5
3223,Kepler-191 b,Kepler-191,1.34,0.81,3
3224,Kepler-191 c,Kepler-191,1.86,0.81,3
3225,Kepler-191 d,Kepler-191,2.28,0.84,3
3236,Kepler-192 b,Kepler-192,2.74,0.94,3
3237,Kepler-192 c,Kepler-192,2.79,0.94,3
3238,Kepler-192 d,Kepler-192,1.02,0.94,3
3262,Kepler-194 b,Kepler-194,1.51,1.09,3
3263,Kepler-194 c,Kepler-194,2.59,1.09,3
3264,Kepler-194 d,Kepler-194,2.4,1.09,3
3287,Kepler-196 b,Kepler-196,1.9,0.85,3
3288,Kepler-196 c,Kepler-196,2.24,0.85,3
3289,Kepler-196 d,Kepler-196,2.661,0.81,3
3300,Kepler-197 b,Kepler-197,1.02,0.86,4
3301,Kepler-197 c,Kepler-197,1.23,0.86,4
3302,Kepler-197 d,Kepler-197,1.22,0.86,4
3303,Kepler-197 e,Kepler-197,0.91,0.86,4
3310,Kepler-198 b,Kepler-198,2.82,0.97,3
3311,Kepler-198 c,Kepler-198,2.47,0.97,3
3312,Kepler-198 d,Kepler-198,1.53,0.97,3
3320,Kepler-1987 b,Kepler-1987,1.23,0.8,4
3321,Kepler-1987 c,Kepler-1987,1.33,0.8,4
3322,Kepler-1987 d,Kepler-1987,2.66,0.8,4
3323,Kepler-1987 e,Kepler-1987,1.92,0.8,4
3341,Kepler-20 b,Kepler-20,1.773,0.93,5
3342,Kepler-20 c,Kepler-20,2.894,0.93,5
3343,Kepler-20 d,Kepler-20,2.606,0.93,5
3344,Kepler-20 e,Kepler-20,0.821,0.93,5
3345,Kepler-20 f,Kepler-20,0.952,0.93,5
3357,Kepler-203 b,Kepler-203,2.57,1.0,3
3358,Kepler-203 c,Kepler-203,2.47,1.0,3
3359,Kepler-203 d,Kepler-203,1.44,1.0,3
3364,Kepler-206 b,Kepler-206,1.2,1.05,3
3365,Kepler-206 c,Kepler-206,1.77,1.05,3
3366,Kepler-206 d,Kepler-206,1.19,1.05,3
3367,Kepler-207 b,Kepler-207,1.57,1.04,3
3368,Kepler-207 c,Kepler-207,1.5,1.04,3
3369,Kepler-207 d,Kepler-207,3.31,1.04,3
3370,Kepler-208 b,Kepler-208,1.63,1.16,4
3371,Kepler-208 c,Kepler-208,1.39,1.16,4
3372,Kepler-208 d,Kepler-208,1.2,1.16,4
3373,Kepler-208 e,Kepler-208,1.48,1.16,4
3387,Kepler-215 b,Kepler-215,1.62,0.94,4
3388,Kepler-215 c,Kepler-215,1.77,0.94,4
3389,Kepler-215 d,Kepler-215,2.39,0.94,4
3390,Kepler-215 e,Kepler-215,1.75,0.94,4
3393,Kepler-217 b,Kepler-217,2.23,1.14,3
3394,Kepler-217 c,Kepler-217,1.85,1.14,3
3395,Kepler-217 d,Kepler-217,1.32,1.37,3
3396,Kepler-218 b,Kepler-218,1.48,1.02,3
3397,Kepler-218 c,Kepler-218,3.14,1.02,3
3398,Kepler-218 d,Kepler-218,2.66,1.01,3
3399,Kepler-219 b,Kepler-219,2.95,1.17,3
3400,Kepler-219 c,Kepler-219,3.58,1.17,3
3401,Kepler-219 d,Kepler-219,2.81,1.17,3
3403,Kepler-220 b,Kepler-220,0.81,0.73,4
3404,Kepler-220 c,Kepler-220,1.57,0.73,4
3405,Kepler-220 d,Kepler-220,0.98,0.73,4
3406,Kepler-220 e,Kepler-220,1.33,0.73,4
3407,Kepler-221 b,Kepler-221,1.71,0.82,4
3408,Kepler-221 c,Kepler-221,2.93,0.82,4
3409,Kepler-221 d,Kepler-221,2.73,0.82,4
3410,Kepler-221 e,Kepler-221,2.63,0.82,4
3418,Kepler-224 b,Kepler-224,1.39,0.82,4
3419,Kepler-224 c,Kepler-224,3.12,0.82,4
3420,Kepler-224 d,Kepler-224,2.3,0.82,4
3421,Kepler-224 e,Kepler-224,1.97,0.82,4
3424,Kepler-226 b,Kepler-226,1.55,0.91,3
3425,Kepler-226 c,Kepler-226,2.27,0.91,3
3426,Kepler-226 d,Kepler-226,1.22,0.91,3
3435,Kepler-23 b,Kepler-23,1.638,1.08,3
3436,Kepler-23 c,Kepler-23,3.005,1.08,3
3437,Kepler-23 d,Kepler-23,2.206,1.08,3
3448,Kepler-235 b,Kepler-235,2.23,0.58,4
3449,Kepler-235 c,Kepler-235,1.28,0.58,4
3450,Kepler-235 d,Kepler-235,2.05,0.58,4
3451,Kepler-235 e,Kepler-235,2.22,0.58,4
3456,Kepler-238 b,Kepler-238,1.73,1.06,4
3457,Kepler-238 c,Kepler-238,2.39,1.06,4
3458,Kepler-238 d,Kepler-238,3.07,1.06,4
3460,Kepler-238 f,Kepler-238,2.0,1.06,4
3463,Kepler-24 b,Kepler-24,2.348,1.06,4
3464,Kepler-24 c,Kepler-24,2.514,1.06,4
3465,Kepler-24 d,Kepler-24,1.67,0.98,4
3466,Kepler-24 e,Kepler-24,2.78,0.98,4
3475,Kepler-244 b,Kepler-244,2.76,0.96,3
3476,Kepler-244 c,Kepler-244,2.05,0.96,3
3477,Kepler-244 d,Kepler-244,2.31,0.96,3
3478,Kepler-245 b,Kepler-245,2.57,0.86,4
3479,Kepler-245 c,Kepler-245,2.18,0.86,4
3480,Kepler-245 d,Kepler-245,3.03,0.86,4
3481,Kepler-245 e,Kepler-245,1.75,0.86,4
3489,Kepler-249 b,Kepler-249,1.09,0.51,3
3490,Kepler-249 c,Kepler-249,1.51,0.51,3
3491,Kepler-249 d,Kepler-249,1.57,0.51,3
3495,Kepler-250 b,Kepler-250,1.13,0.83,3
3496,Kepler-250 c,Kepler-250,2.28,0.83,3
3497,Kepler-250 d,Kepler-250,2.18,0.83,3
3498,Kepler-251 b,Kepler-251,1.33,0.95,4
3499,Kepler-251 c,Kepler-251,2.77,0.95,4
3500,Kepler-251 d,Kepler-251,2.77,0.95,4
3501,Kepler-251 e,Kepler-251,2.77,0.95,4
3504,Kepler-253 b,Kepler-253,1.63,0.85,3
3505,Kepler-253 c,Kepler-253,2.65,0.85,3
3506,Kepler-253 d,Kepler-253,3.17,0.85,3
3507,Kepler-254 b,Kepler-254,3.87,0.93,3
3508,Kepler-254 c,Kepler-254,2.15,0.93,3
3509,Kepler-254 d,Kepler-254,2.5,0.93,3
3510,Kepler-255 b,Kepler-255,1.55,0.87,3
3511,Kepler-255 c,Kepler-255,2.99,0.87,3
3512,Kepler-255 d,Kepler-255,1.32,0.9,3
3513,Kepler-256 b,Kepler-256,1.59,0.97,4
3514,Kepler-256 c,Kepler-256,2.15,0.97,4
3515,Kepler-256 d,Kepler-256,2.48,0.97,4
3516,Kepler-256 e,Kepler-256,2.35,0.97,4
3524,Kepler-26 b,Kepler-26,2.78,0.54,4
3525,Kepler-26 c,Kepler-26,2.72,0.54,4
3526,Kepler-26 d,Kepler-26,1.07,0.62,4
3527,Kepler-26 e,Kepler-26,2.41,0.62,4
3538,Kepler-265 b,Kepler-265,1.86,0.98,4
3539,Kepler-265 c,Kepler-265,2.63,0.98,4
3540,Kepler-265 d,Kepler-265,2.49,0.98,4
3541,Kepler-265 e,Kepler-265,2.59,0.98,4
3544,Kepler-267 b,Kepler-267,1.98,0.54,3
3545,Kepler-267 c,Kepler-267,2.13,0.54,3
3546,Kepler-267 d,Kepler-267,2.27,0.54,3
3556,Kepler-271 b,Kepler-271,1.23,0.9,3
3557,Kepler-271 c,Kepler-271,0.95,0.9,3
3558,Kepler-271 d,Kepler-271,0.66,0.9,3
3559,Kepler-272 b,Kepler-272,1.43,0.86,3
3560,Kepler-272 c,Kepler-272,1.79,0.86,3
3561,Kepler-272 d,Kepler-272,2.25,0.86,3
3566,Kepler-275 b,Kepler-275,2.34,1.16,3
3567,Kepler-275 c,Kepler-275,3.38,1.16,3
3568,Kepler-275 d,Kepler-275,3.33,1.16,3
3569,Kepler-276 b,Kepler-276,2.87,1.04,3
3570,Kepler-276 c,Kepler-276,2.9,1.1,3
3571,Kepler-276 d,Kepler-276,2.8,1.1,3
3586,Kepler-282 b,Kepler-282,1.01,0.79,4
3587,Kepler-282 c,Kepler-282,1.2,0.79,4
3588,Kepler-282 d,Kepler-282,2.46,0.97,4
3589,Kepler-282 e,Kepler-282,3.1,0.97,4
3596,Kepler-286 b,Kepler-286,1.24,0.96,4
